Month,Region,Product_Category,Units,Revenue,Profit
2026-01,North,Electronics,20,5780.00,1989.87
2026-01,North,Electronics,21,5586.00,1145.20
2026-01,North,Office,18,7794.00,2780.29
2026-01,North,Office,8,3288.00,875.11
2026-01,North,Accessories,5,535.00,144.83
2026-01,North,Accessories,17,2057.00,740.89
2026-01,North,Storage,14,4438.00,1483.87
2026-01,North,Storage,20,6400.00,2109.25
2026-01,South,Electronics,6,1674.00,494.11
2026-01,South,Electronics,18,5184.00,1347.42
2026-01,South,Office,10,4020.00,1503.53
2026-01,South,Office,18,7434.00,2013.10
2026-01,South,Accessories,10,1220.00,334.23
2026-01,South,Accessories,24,2448.00,928.63
2026-01,South,Storage,24,8256.00,2580.62
2026-01,South,Storage,10,3080.00,1113.64
2026-01,East,Electronics,20,5260.00,1191.18
2026-01,East,Electronics,13,3770.00,1172.52
2026-01,East,Office,10,4300.00,1598.91
2026-01,East,Office,5,1980.00,516.79
2026-01,East,Accessories,17,2329.00,631.69
2026-01,East,Accessories,13,1664.00,345.73
2026-01,East,Storage,22,6886.00,1878.15
2026-01,East,Storage,24,7728.00,2280.03
2026-01,West,Electronics,23,5635.00,1608.50
2026-01,West,Electronics,22,5236.00,1881.29
2026-01,West,Office,18,7758.00,2497.99
2026-01,West,Office,12,5160.00,1951.33
2026-01,West,Accessories,6,840.00,312.38
2026-01,West,Accessories,8,928.00,270.59
2026-01,West,Storage,20,6920.00,2343.93
2026-01,West,Storage,24,7584.00,2378.48
2026-02,North,Electronics,14,3696.00,999.86
2026-02,North,Electronics,23,5819.00,1847.95
2026-02,North,Office,24,10104.00,2217.10
2026-02,North,Office,27,10638.00,2551.89
2026-02,North,Accessories,17,1785.00,667.97
2026-02,North,Accessories,12,1668.00,464.18
2026-02,North,Storage,23,7314.00,2725.71
2026-02,North,Storage,25,7750.00,2478.85
2026-02,South,Electronics,5,1290.00,295.18
2026-02,South,Electronics,13,3276.00,952.85
2026-02,South,Office,11,4422.00,1617.92
2026-02,South,Office,16,6256.00,1981.72
2026-02,South,Accessories,23,3082.00,638.36
2026-02,South,Accessories,27,3213.00,1007.36
2026-02,South,Storage,27,9369.00,1955.02
2026-02,South,Storage,13,4589.00,1161.92
2026-02,East,Electronics,17,4879.00,1380.62
2026-02,East,Electronics,20,4760.00,1101.97
2026-02,East,Office,10,4270.00,1613.40
2026-02,East,Office,11,4301.00,960.54
2026-02,East,Accessories,15,1605.00,486.12
2026-02,East,Accessories,14,1764.00,548.24
2026-02,East,Storage,8,2728.00,972.57
2026-02,East,Storage,25,8125.00,2793.42
2026-02,West,Electronics,20,4840.00,1562.30
2026-02,West,Electronics,11,3047.00,1100.39
2026-02,West,Office,23,9154.00,3446.41
2026-02,West,Office,20,7940.00,2491.42
2026-02,West,Accessories,7,1043.00,224.89
2026-02,West,Accessories,26,2730.00,967.50
2026-02,West,Storage,15,4680.00,1732.86
2026-02,West,Storage,24,7752.00,1933.38
2026-03,North,Electronics,7,2009.00,639.21
2026-03,North,Electronics,14,3654.00,943.22
2026-03,North,Office,22,9636.00,2157.50
2026-03,North,Office,27,10746.00,3116.31
2026-03,North,Accessories,22,2508.00,569.60
