Order_ID,Order_Date,Month,Region,Salesperson,Product_Category,Product,Units,Revenue,Cost,Profit
SO-10001,2026-01-15,2026-01,North,Avery,Electronics,Display Hub,16,4016.00,2715.94,1300.06
SO-10002,2026-01-15,2026-01,North,Morgan,Office,Standing Desk,23,8510.00,5015.05,3494.95
SO-10003,2026-01-15,2026-01,North,Morgan,Accessories,Headset,20,2920.00,2180.89,739.11
SO-10004,2026-01-15,2026-01,North,Morgan,Storage,NAS Drive,31,9858.00,6383.96,3474.04
SO-10005,2026-01-15,2026-01,South,Jordan,Electronics,USB-C Dock,29,6757.00,4462.45,2294.55
SO-10006,2026-01-15,2026-01,South,Taylor,Office,Standing Desk,18,7308.00,5425.12,1882.88
SO-10007,2026-01-15,2026-01,South,Taylor,Accessories,Webcam,42,4368.00,3062.34,1305.66
SO-10008,2026-01-15,2026-01,South,Jordan,Storage,NAS Drive,19,6232.00,4283.31,1948.69
SO-10009,2026-01-15,2026-01,East,Riley,Electronics,USB-C Dock,30,8370.00,5499.62,2870.38
SO-10010,2026-01-15,2026-01,East,Riley,Office,Ergo Chair,13,4849.00,3084.42,1764.58
SO-10011,2026-01-15,2026-01,East,Casey,Accessories,Headset,12,1740.00,1204.27,535.73
SO-10012,2026-01-15,2026-01,East,Riley,Storage,Portable SSD,37,11877.00,7342.80,4534.20
SO-10013,2026-01-15,2026-01,West,Parker,Electronics,USB-C Dock,41,11234.00,7761.09,3472.91
SO-10014,2026-01-15,2026-01,West,Cameron,Office,Standing Desk,21,8190.00,5973.81,2216.19
SO-10015,2026-01-15,2026-01,West,Parker,Accessories,Headset,14,2100.00,1239.93,860.07
SO-10016,2026-01-15,2026-01,West,Parker,Storage,NAS Drive,14,4536.00,2755.86,1780.14
SO-10017,2026-02-15,2026-02,North,Avery,Electronics,Display Hub,29,7975.00,5223.27,2751.73
SO-10018,2026-02-15,2026-02,North,Avery,Office,Ergo Chair,41,17056.00,12840.18,4215.82
SO-10019,2026-02-15,2026-02,North,Avery,Accessories,Headset,18,2430.00,1772.48,657.52
SO-10020,2026-02-15,2026-02,North,Morgan,Storage,Portable SSD,26,8320.00,5170.75,3149.25
SO-10021,2026-02-15,2026-02,South,Jordan,Electronics,USB-C Dock,38,10184.00,5955.87,4228.13
SO-10022,2026-02-15,2026-02,South,Jordan,Office,Standing Desk,17,6732.00,4764.58,1967.42
SO-10023,2026-02-15,2026-02,South,Taylor,Accessories,Webcam,16,2288.00,1699.69,588.31
SO-10024,2026-02-15,2026-02,South,Jordan,Storage,NAS Drive,19,6251.00,4526.98,1724.02
SO-10025,2026-02-15,2026-02,East,Riley,Electronics,USB-C Dock,18,4878.00,3231.14,1646.86
SO-10026,2026-02-15,2026-02,East,Casey,Office,Standing Desk,24,10128.00,7462.96,2665.04
SO-10027,2026-02-15,2026-02,East,Riley,Accessories,Webcam,42,6090.00,3841.96,2248.04
SO-10028,2026-02-15,2026-02,East,Casey,Storage,NAS Drive,18,5922.00,3561.06,2360.94
SO-10029,2026-02-15,2026-02,West,Cameron,Electronics,USB-C Dock,33,9108.00,5808.18,3299.82
SO-10030,2026-02-15,2026-02,West,Parker,Office,Standing Desk,14,5208.00,3752.83,1455.17
SO-10031,2026-02-15,2026-02,West,Parker,Accessories,Webcam,8,1000.00,611.19,388.81
SO-10032,2026-02-15,2026-02,West,Parker,Storage,Portable SSD,34,11560.00,7888.23,3671.77
SO-10033,2026-03-15,2026-03,North,Morgan,Electronics,Display Hub,28,7224.00,5017.19,2206.81
SO-10034,2026-03-15,2026-03,North,Morgan,Office,Standing Desk,12,4992.00,2931.36,2060.64
SO-10035,2026-03-15,2026-03,North,Morgan,Accessories,Webcam,35,5040.00,2969.04,2070.96
SO-10036,2026-03-15,2026-03,North,Morgan,Storage,Portable SSD,15,5130.00,3616.59,1513.41
SO-10037,2026-03-15,2026-03,South,Jordan,Electronics,Display Hub,13,3497.00,2340.16,1156.84
SO-10038,2026-03-15,2026-03,South,Taylor,Office,Ergo Chair,39,16029.00,10363.18,5665.82
SO-10039,2026-03-15,2026-03,South,Jordan,Accessories,Headset,16,2112.00,1228.26,883.74
SO-10040,2026-03-15,2026-03,South,Taylor,Storage,NAS Drive,39,11310.00,7486.88,3823.12
SO-10041,2026-03-15,2026-03,East,Casey,Electronics,USB-C Dock,23,6394.00,3886.94,2507.06
SO-10042,2026-03-15,2026-03,East,Riley,Office,Ergo Chair,25,10075.00,6732.94,3342.06
SO-10043,2026-03-15,2026-03,East,Casey,Accessories,Webcam,31,4309.00,2928.35,1380.65
SO-10044,2026-03-15,2026-03,East,Casey,Storage,Portable SSD,27,8424.00,5022.99,3401.01
SO-10045,2026-03-15,2026-03,West,Cameron,Electronics,USB-C Dock,28,6524.00,4608.25,1915.75
SO-10046,2026-03-15,2026-03,West,Cameron,Office,Standing Desk,11,4400.00,3010.06,1389.94
SO-10047,2026-03-15,2026-03,West,Parker,Accessories,Headset,28,3752.00,2740.39,1011.61
SO-10048,2026-03-15,2026-03,West,Cameron,Storage,Portable SSD,22,6556.00,4389.41,2166.59
SO-10049,2026-04-15,2026-04,North,Avery,Electronics,USB-C Dock,38,9614.00,5620.39,3993.61
SO-10050,2026-04-15,2026-04,North,Avery,Office,Ergo Chair,11,4378.00,2785.83,1592.17
SO-10051,2026-04-15,2026-04,North,Morgan,Accessories,Webcam,36,4572.00,3057.29,1514.71
SO-10052,2026-04-15,2026-04,North,Morgan,Storage,Portable SSD,36,11592.00,8160.15,3431.85
SO-10053,2026-04-15,2026-04,South,Jordan,Electronics,USB-C Dock,40,10120.00,6048.24,4071.76
SO-10054,2026-04-15,2026-04,South,Jordan,Office,Ergo Chair,18,7056.00,4934.37,2121.63
SO-10055,2026-04-15,2026-04,South,Jordan,Accessories,Webcam,25,3675.00,2577.04,1097.96
SO-10056,2026-04-15,2026-04,South,Taylor,Storage,NAS Drive,15,4725.00,2858.72,1866.28
SO-10057,2026-04-15,2026-04,East,Riley,Electronics,USB-C Dock,16,3760.00,2425.02,1334.98
SO-10058,2026-04-15,2026-04,East,Riley,Office,Ergo Chair,22,8998.00,5478.89,3519.11
SO-10059,2026-04-15,2026-04,East,Riley,Accessories,Headset,16,1936.00,1393.13,542.87
SO-10060,2026-04-15,2026-04,East,Riley,Storage,NAS Drive,23,7751.00,4744.95,3006.05
